Subject,Course Number,Course Name
UP,UP470,Shrinking Cities
CS,CS546,Machine Learning in NLP
ASRM,ASRM461,Loss Models
MATH,MATH512,Modern Algebraic Geometry
NRES,NRES504,Critical Issues Recreation Mgt
SPAN,SPAN232,Spanish in the Community
EPSY,EPSY200,Honors Symposium in Education
RUSS,RUSS514,Russian Literature After 1956
AE,AE428,Mechanics of Composites
SHS,SHS557,Adv Clin Prac Aud Assess Rehab
BADM,BADM558,Software Prog Dev and Mgmt
ENVS,ENVS469,Environmental Health
GEOL,GEOL521,Topics in Paleontology
NE,NE430,Neural Cell and Tissue Engineering
HRD,HRD533,Management of Human Resource Development
CPSC,CPSC567,Bioinformatics & Systems Biol
BIOE,BIOE572,Biological Measurement II
IB,IB472,Plant Molecular Biology
AIS,AIS291,Independent Study
MCB,MCB534,Advanced Microbial Metabolism
ETMA,ETMA262,Agricultural Machine Systems Management
FIN,FIN538,Enterprise Risk Management
CHLH,CHLH594,Special Topics
ABE,ABE474,Indoor Environmental Control
ASTR,ASTR490,Senior Thesis
CWL,CWL335,Nabokov
IB,IB592,Biostatistics
LAW,LAW688,American Legal History
CSE,CSE530,Computational Electromagnetics
PHYS,PHYS509,Mathematical Physics II
BADM,BADM527,Sales Force Management
LLS,LLS220,Latina/o Migration
SAME,SAME325,Social Media and Global Change
STAT,STAT480,Data Science Foundations
PS,PS526,Formal Theory II: Applications
MATH,MATH553,Partial Differential Equations
INFO,INFO510,Research Practicum
FSHN,FSHN345,Strategic Operations Management
EPSY,EPSY572,Evaluation of Edu Programs
LLS,LLS577,Perspectives in LLS
BSE,BSE701,Introduction to Telemedicine
ACE,ACE300,Intermediate Applied Microeconomics
EPOL,EPOL414,Anthropology of Education
ECON,ECON302,Inter Microeconomic Theory
CEE,CEE450,Surface Hydrology
ACCY,ACCY576,Data Preparation for Accounting
IS,IS466,Accessible and Inclusive Technologies
CHEM,CHEM451,Astrochemistry Laboratory
AFRO,AFRO287,African-American Women
FSHN,FSHN420,Nutritional Aspects of Disease
IE,IE405,Computing for ISE
PS,PS292,Undergraduate Research Practicum
MILS,MILS214,Leadership Laboratory
MUSC,MUSC464,Women's Glee Club
ARTH,ARTH535,Seminar in Baroque Art
CI,CI483,Computer Systems for CS Teachers
FSHN,FSHN575,Issues in Food Safety
MUSC,MUSC425,Trumpet
SBC,SBC512,Professional SBC Capstone Project
ECE,ECE592,Teaching and Leadership skills for Graduate Engineering Students and Teaching Assistants
IE,IE515,Stochastic Simulation
STAT,STAT391,Honors Individual Study
ITAL,ITAL156,Exploring Rome: History and Culture of the Eternal City
VCM,VCM505,Introduction to Veterinary Science
PSYC,PSYC509,Psych Scaling Multidimen Meth
MACS,MACS224,Sportsmedia Technology & Culture
GWS,GWS395,Intermediate Topics GWS
AAS,AAS201,US Racial & Ethnic Politics
CEE,CEE512,Logistics Systems Analysis
SLCL,SLCL200,Topics in Global Culture
PLPA,PLPA200,"Plants, Pathogens, and People"
PATH,PATH511,Seminar in Prod/Pop Medicine
PSYC,PSYC437,Advanced Psychology Lab
JOUR,JOUR361,Readings in Sports Journalism
EALC,EALC476,Classical Chinese Thought
THEA,THEA421,Welding for the Stage
CWL,CWL535,Nabokov
EALC,EALC425,Chinese Poetry and Translation
MUS,MUS533,Research in Music Education
ECE,ECE380,Biomedical Imaging
ARTD,ARTD502,Industrial Design II
LAST,LAST597,M.A. Research
HDFS,HDFS597,Advanced Statistical Analysis
CMN,CMN310,The Rhetorical Tradition
GWS,GWS305,"Theories of Race, Gender, and Sexuality"
PSYC,PSYC498,Senior Honors Seminar
CHBE,CHBE431,Process Design
ECE,ECE522,Emerging Memory and Storage Systems
SOCW,SOCW455,Social Work with Women
UP,UP591,Capstone Seminar
IB,IB463,Ichthyology
ACE,ACE251,The World Food Economy
ARTJ,ARTJ199,Special Topics in Japanese Aesthetic Practices
CLE,CLE716,Hematology/Oncology
BIOE,BIOE581,MRI Pulse Sequence Design
PS,PS241,Comp Politics in Dev Nations
NRES,NRES455,Advanced GIS for Environmental Management
DANC,DANC465,Screendance
MBA,MBA553,Entrepreneurship: From Startup to Growth
ASST,ASST402,"Transnational Islam, Europe-US"
ANTH,ANTH425,Anthropology of Education
ADV,ADV462,Computational Advertising Infrastructure
TE,TE450,"Startups: Inc, Fund, Contracts, IP"
DANC,DANC215,Int Tap Dance Technique
FSHN,FSHN293,Off Campus Internship
LAW,LAW651,Tax Exempt Organizations
SOCW,SOCW532,Field Practicum and Integrative Seminar II
HDFS,HDFS341,Asian American Youth
GWS,GWS392,Chicanas&Latinas: Self&Society
LAW,LAW793,Advanced Litigation Topics
MACS,MACS321,Film Culture
PS,PS353,Gov & Pol of Latin America
FSHN,FSHN416,Food Chemistry Laboratory
GLBL,GLBL340,Global Health: Policy & Governance
PS,PS314,Political Psychology
THEA,THEA433,Business of Entertainment Design
CLE,CLE683,Pediatrics Sub-Internship
IE,IE529,Stats of Big Data & Clustering
IS,IS441,Strategic Communication
BADM,BADM558,Big Data Infrastructures
RST,RST480,Orientation to Practicum
THEA,THEA260,Intro Asian American Theatre
EPOL,EPOL592,Special Topics in EPOL
THEA,THEA404,Professional Career Development
VCM,VCM614,Equine Farrier Science Form and Function
JS,JS261,The Holocaust in Context
HDFS,HDFS207,Self in Context
MUSC,MUSC432,Jazz Saxophone
RUSS,RUSS219,Russian Cinema Survey
CB,CB449,Basic Toxicology
IS,IS585,Bibliographic Metadata
GWS,GWS442,"Body, Culture & Society"
ECE,ECE317,ECE Technology & Management
UP,UP474,Neighborhood Revitalization
MUS,MUS365,Jazz Composition II
CEE,CEE407,Airport Design
KIN,KIN599,Thesis Research
PHIL,PHIL458,Advances in Brain and Cognitive Science
IS,IS583,Advanced Topics in Book History
ME,ME453,Data Science in Manufacturing Quality Control
VCM,VCM565,"Biostatistics, Information Management, and Data Analytics for Livestock Production Systems"
ECE,ECE552,Numerical Circuit Analysis
PHYS,PHYS510,Nonlinear Dynamics
EPSY,EPSY583,Single Case Experimental Design
GGIS,GGIS473,Digital Cartography & Map Design
CZCH,CZCH102,Elementary Czech II
GRK,GRK102,Elementary Greek II
HIST,HIST475,Formation of US Public Health
INFO,INFO390,Special Topics
LAW,LAW599,Thesis Research
MILS,MILS101,Introduction to the Army
EPOL,EPOL546,Law and School District Leader
JS,JS454,Topics in Israeli Lit &Culture
LAS,LAS101,Design Your First Year Experience
CWL,CWL119,Literature of Fantasy
HORT,HORT341,Greenhouse Mgmt and Production
PS,PS320,Public Opinion
NE,NE100,Introduction to Neural Engineering
PATH,PATH549,Gross Pathology
PS,PS319,Campaigns and Elections
PHYS,PHYS211,University Physics: Mechanics
NUTR,NUTR599,Thesis Research
IS,IS445,Data Visualization
GRK,GRK101,Elementary Greek I
ETMA,ETMA234,"Wiring, Motors and Control Sys"
CMN,CMN411,Organizational Comm Assessment
RUSS,RUSS474,Russian Translation
ENGL,ENGL428,British Drama 1660-1800
GER,GER396,Special Topics German Studies
MUSC,MUSC133,Jazz Trumpet
NPRE,NPRE321,Introduction to Plasmas and Applications
TAM,TAM574,Adv Finite Element Methods
FIN,FIN422,Cases in Corporate Finance
ARTH,ARTH491,Topics in Art History
GWS,GWS435,Commodifying Difference
REL,REL440,Early Christian Thought
SHS,SHS427,Language and the Brain
REL,REL484,Buddhist Meditation
AHS,AHS375,Comm Partners & Health
LLS,LLS377,"Prisons, Race, and Terror"
GGIS,GGIS210,Social & Environmental Issues
CI,CI534,Teaching and Learning Geometry
EPS,EPS405,Historical and Social Barriers
CI,CI487,Data Structures for Computer Science Teachers
ALEC,ALEC545,Research Methods and Design
ECE,ECE307,Techniques for Engrg Decisions
PHIL,PHIL198,Freshman Seminar
FR,FR576,Seminar in Francophonie
PS,PS191,Topics in Civic Leadership
TSM,TSM339,Optimization in Engineering Technology and Management
AFRO,AFRO211,Intro to African-American Film
HIST,HIST446,Early Modern British Isles
ESL,ESL511,Written and Oral Communication
LING,LING412,Lang in African Culture & Soc
ME,ME599,Thesis Research
VM,VM652,Large Animal Medicine and Surgery I
IS,IS567,Text Mining
PSYC,PSYC425,Psych of Language
PHYS,PHYS420,"Space, Time, and Matter"
LER,LER120,Contemporary Labor Problems
CWL,CWL227,Golden Age of Russian Literature
ARTD,ARTD215,Introduction to Typography
PHYS,PHYS470,Subatomic Physics
BADM,BADM550,Business Practicum
AFAS,AFAS222,Team and Leadership Fundamentals II
PHYS,PHYS298,Freshmen/Sophomore Special Topics in Physics
ANSC,ANSC421,Minerals and Vitamins
FIN,FIN511,Investments
IS,IS462,Information Assurance
AFRO,AFRO261,Intro to the African Diaspora
GWS,GWS335,"Film, TV, and Gender"
FIN,FIN517,Advanced Term Structure Models
CPSC,CPSC498,Crop Sci Professional Develpmt
AFST,AFST415,Advanced Lingala I
ACE,ACE563,Math Program App Econ I
ENGL,ENGL241,Modern Poetry
ABE,ABE226,ABE Principles: Bioprocessing
HIST,HIST283,Asian American History
IE,IE430,Economic Found of Quality Syst
FIN,FIN599,Thesis Research
GLBL,GLBL298,Global Studies Seminar Abroad
SPED,SPED199,Undergraduate Open Seminar
NRES,NRES460,Aerial Photo Analysis
ENGL,ENGL461,Topics in Literature
STAT,STAT437,Unsupervised Learning
CWL,CWL420,Masterpieces Renaiss Lit
EPS,EPS411,School and Society
BADM,BADM524,Pricing Strategy and Tactics
ANTH,ANTH157,The Archaeology of Illinois
HIST,HIST227,Modern Japanese History
PHIL,PHIL421,Ethical Theories
MCB,MCB431,Microbial Physiology
AFST,AFST403,Intermediate Bamana I
DANC,DANC495,Senior Career Seminar
SOCW,SOCW552,HBSE II: Mental Disorders
LA,LA482,Advanced Communication in Urban Design
MUSC,MUSC134,Jazz Trombone
HUM,HUM111,Introduction to the Humanities II: Literature & US History
ITAL,ITAL450,Italian Syntax & Phonology
REL,REL286,Introduction to Hinduism
ABE,ABE502,Graduate Research II
PSYC,PSYC500,Professional Develop for Psych
ENGL,ENGL476,Topics in Literature and the Environment
NPRE,NPRE445,Interaction of Radiation with Matter
ARTH,ARTH530,Seminar Italian Art
POL,POL301,Third-Year Polish I
PSYC,PSYC536,Dev Cultural Psychology
BADM,BADM320,Principles of Marketing
GLBL,GLBL201,Energy Systems
ECON,ECON102,Microeconomic Principles
ANTH,ANTH508,"Feminism, Gender and Sexuality"
DANC,DANC462,Composition Workshop
IS,IS557,Text Mining
GGIS,GGIS471,Modern Geographic Thought
ANTH,ANTH363,Anth of Dance/Movement
PS,PS230,Intro to Pol Research
TAM,TAM529,Viscoelasticity Theory
IS,IS520,Community Informatics
CEE,CEE473,Wind Effects on Structures
BADM,BADM510,Founds of Organizational Behav
STAT,STAT433,Stochastic Processes
FSHN,FSHN599,Thesis Research
CWL,CWL321,Russian Writers
CHIN,CHIN199,Undergraduate Open Seminar
CLCV,CLCV515,Seminar in Ancient Art
IE,IE420,Financial Engineering
MUSC,MUSC451,Piano Ensemble
MACS,MACS365,Asian American Media and Film
PHYS,PHYS496,Intro to Physics Research
CS,CS568,User-Centered Machine Learning
REES,REES265,Central Asian Societies
CS,CS401,Accelerated Fundamentals of Algorithms I
CLE,CLE793,Quality Improvement & Patient Safety
ANSC,ANSC526,Adv Companion Animal Nutrition
BADM,BADM560,IT Consulting Management
EPSY,EPSY220,Career Theory and Practice
LER,LER522,Government Regulation
HIST,HIST198,Freshman Seminar
NPRE,NPRE527,Plasma Technology of Gaseous Electronics
ASTR,ASTR132,Stars and Galaxies Lab
BIOP,BIOP550,Biomolecular Physics
SAME,SAME260,Mystics and Saints in Islam
UP,UP594,Seminar
REL,REL106,Archaeology and the Bible
CI,CI471,Princ Prac Foster Indep Rdg
ENGL,ENGL119,Literature of Fantasy
REL,REL345,Medieval Civilization
REES,REES390,Individual Study or Research
INFO,INFO407,Introduction to Programming Python for Data Science
ART,ART103,Painting for Non-Majors
IS,IS581,Administration and Use of Archival Materials
ANTH,ANTH532,Dissertation Writing Seminar
LAW,LAW792,Current Legal Problems
VCM,VCM510,Science of Animal Well-Being
TE,TE350,Technology Venture Funding
CHEM,CHEM105,General Chemistry Lab II
GEOG,GEOG403,Geographic Information Science and Systems
CLCV,CLCV114,Introduction to Ancient Greek Culture
ENGL,ENGL255,Early American Literature
EPSY,EPSY551,Seminar in Cognitive Science
CEE,CEE515,Traffic Flow Theory
TAM,TAM413,Fund of Engrg Acoustics
ASRM,ASRM390,Introduction to Actuarial Research
ASRM,ASRM533,Risk Management Practices and Regulation
MDVL,MDVL344,Medieval Jewish Thought
MUS,MUS273,Marching Illini
HEBR,HEBR407,Topics Hebrew Lang & Lit
JAPN,JAPN204,Intermediate Japanese II
HIST,HIST261,Intro Russian-Jewish Culture
IE,IE597,Independent Study
MUS,MUS542,Technology in Music Education
ANTH,ANTH440,Human Paleontology
MACS,MACS275,Am Indian and Indigenous Film
IS,IS512,History of Libraries
FIN,FIN535,Wealth Management
HDFS,HDFS521,Family Theories
ECE,ECE550,Advanced Robotic Planning
CI,CI405,Introduction to Teaching Elementary Age Children
SOCW,SOCW220,Technology and Social Issues
CEE,CEE449,Environmental Engineering Lab
FR,FR574,Seminar 19thC French Lit
THEA,THEA222,Introduction to Scenic Design
BADM,BADM375,Operations Management
LAST,LAST199,Undergraduate Open Seminar
CWL,CWL490,Topics in Classical Literature
GRK,GRK202,Classical & Koine Greek II
NEUR,NEUR314,Introduction to Neurobiology
CI,CI512,Mult Educ/Global Perspectives
CLCV,CLCV492,Senior Thesis
CI,CI435,Technology Applications for Teachers
ECE,ECE421,Neural Interface Engineering
ECE,ECE464,Power Electronics
FSHN,FSHN522,Dietary Prevention of Cardiovascular and Other Chronic Diseases
HORT,HORT393,Horticulture Internship
UP,UP546,Land Use Policy and Planning
PHIL,PHIL433,Evolutionary Neuroscience
IS,IS411,Information Systems Analysis
RUSS,RUSS305,Business Russian
CEE,CEE432,Stream Ecology
EPOL,EPOL526,Education and Power in Middle East
BIOC,BIOC590,Individual Topics
FSHN,FSHN125,Intro to Human Nutrition
MDVL,MDVL501,Topics in Medieval Studies
AFST,AFST447,Topics Wolof Lang & Lit I
ARTS,ARTS340,The Art of 3D Imaging
BADM,BADM325,Consumer Behavior
VM,VM653,Small Animal Medicine and Surgery II
BADM,BADM596,Entrship for Prof Scientists
ITAL,ITAL489,Theoretical Foundations of SLA
NPRE,NPRE455,Neutron Diffusion & Transport
SPAN,SPAN254,Introduction to Cultural Analysis
SOC,SOC224,Asian Am Historical Sociology
BADM,BADM358,Big Data Platforms
CEE,CEE550,Hydroclimatology
IB,IB501,Programming for Genomics
GLBL,GLBL221,Geographies of Global Conflict
HIST,HIST348,Early Euro Absolut & Expansion
BADM,BADM563,Operations Strategy
PSYC,PSYC468,Psych and Law
MUS,MUS208,Musicianship IV
HDFS,HDFS401,Socialization and Development
BIOE,BIOE480,Magnetic Resonance Imaging
LEAD,LEAD230,Leadership Communications
ARCH,ARCH550,Reinforced Concrete Design
CI,CI430,Teaching Children Mathematics
EOL,EOL560,Clinical Experience Admin
PATH,PATH575,Vet Info Tech/Computer App
CWL,CWL226,Humanist Persp of Afro-Am Exp
ARTD,ARTD511,Leadership in a Design Research Team
ANTH,ANTH433,Communication and Culture
MUS,MUS361,Jazz Improv:Theory and Prac II
PHYS,PHYS515,General Relativity I
AIS,AIS481,History of American Indian Education
HORT,HORT361,Small Fruit Production
KIN,KIN261,Teaching Activities II
REL,REL462,Ecological Criticism
PS,PS572,History of Pol Theories II
DANC,DANC363,Advanced Improvisation
ARCH,ARCH593,Special Problems in Detail and Fabrication
ME,ME512,Physicochemical Hydrodynamics
NPRE,NPRE413,Nuclear Separations and Fuel Reprocessing
IS,IS586,Digital Preservation
HRD,HRD550,Adult & Professional Education
PATH,PATH514,Molec Mech Bact Pathogenesis
ANTH,ANTH222,Introduction to Modern Africa
FIN,FIN590,Individual Study and Research
THEA,THEA270,Relationships in Acting I
EALC,EALC488,History of Chinese Buddhism
FSHN,FSHN550,Grantsmanship and Ethics
SHS,SHS390,Individual Study
ETMA,ETMA594,Graduate Seminar
RST,RST210,"Management in Recreation, Sport and Tourism"
ENGL,ENGL202,Medieval Literature and Culture
MACS,MACS464,Film Festivals
MUSC,MUSC468,LTI Studio
CI,CI482,Social Learning and Multimedia
UP,UP508,Survey Design and Analysis
EPS,EPS420,Sociology of Education
GEOG,GEOG407,Foundations of CyberGIS & Geospatial Data Science
NPRE,NPRE446,Radiation Interact w/Matter I
SOC,SOC562,Sem in Transnational Studies
MCB,MCB250,Molecular Genetics
EPS,EPS410,Professional Ethics in Education
ESE,ESE287,Environment and Society
JOUR,JOUR450,Media and Public Opinion
SHS,SHS570,Quant Reasoning Spch Hear Sci
CMN,CMN538,Seminar Rhetorical Theory
HIST,HIST306,History of Central America
HDFS,HDFS310,Adult Development
CEE,CEE467,Masonry Structures
PS,PS385,Politics of the European Union
CS,CS173,Discrete Structures
ECON,ECON484,Law and Economics
MUS,MUS525,Rdgs in Musicol and Mus Theory
NUTR,NUTR580,"Ethics in Research, IRB and IACUC"
AGED,AGED551,Advanced Program Evaluation
ENGL,ENGL481,Composition Theory and Practice
GRK,GRK401,Survey of Greek Literature
ACE,ACE456,Agr and Food Policies
EPS,EPS501,History of U.S. Educational Thought
HDFS,HDFS528,Parenting
LAS,LAS299,LAS Study Abroad
PERS,PERS202,Elementary Persian II
ARAB,ARAB201,Elementary Standard Arabic I
ANSC,ANSC307,Companion Animal Management
BSE,BSE642,"Hematology, Oncology, Infection, and Immunity"
SHS,SHS383,Special Topics
AGED,AGED340,Leadership Ethics & Pluralism
ARTD,ARTD251,Graphic Design Toolbox
BADM,BADM332,Sustainable Product Design & Marketing Plans I: Bottom-Up Immersion in Subsistence Marketplaces
PHIL,PHIL411,Nineteenth Century Philosophy
BIOE,BIOE485,Computational Mathematics for Machine Learning and Imaging
ENGL,ENGL455,Major Authors
PHIL,PHIL583,Individual Topics
GWS,GWS454,Social Work with Women
IS,IS451,Introduction to Network Information Systems
LA,LA242,Nature and American Culture
YDSH,YDSH103,Intermediate Yiddish I
RST,RST512,"Managing Recreation, Sport & Tourism Organizations"
HRD,HRD535,Consulting in Human Resource Development
DANC,DANC301,Yoga Fundamentals
MUS,MUS190,Oboe
AAS,AAS501,Theory and Methods in AAS
ECE,ECE558,Digital Imaging
CWL,CWL220,Exploring the Greek and Roman World
DANC,DANC116,Dance I
ANSC,ANSC452,Animal Growth and Development
IS,IS452,Foundations of Information Processing
MUS,MUS130,Music Then and Now
MATH,MATH101,Thinking Mathematically
IS,IS547,Information Services for Diverse Populations
IS,IS582,Preserving Info Resources
CS,CS491,Seminar
CEE,CEE445,Air Quality Modeling
ACE,ACE471,Consumer Economic Policy
AGED,AGED451,Professional Dev in Ag Ed
MATH,MATH447,Real Variables
MCB,MCB354,Biochem & Phys Basis of Life
ECE,ECE410,Neural Circuits and Systems
LING,LING489,Theoretical Foundations of SLA
MDVL,MDVL512,Seminar in Medieval Arch
IS,IS410,Storytelling
CHLH,CHLH565,Teaching in the Professoriate
CLCV,CLCV203,Ancient Philosophy
CS,CS431,Embedded Systems
PATH,PATH558,Exotic/Wild Animal Path Sem
JS,JS320,Lit Responses to the Holocaust
CHEM,CHEM544,Statistical Thermodynamics
SOC,SOC130,Intro Gender & Women's Studies
IB,IB372,Ecology and Evolution
PSYC,PSYC599,Thesis Research
MUSC,MUSC478,Illini Strings
CWL,CWL582,Proseminar
MUSC,MUSC437,Advanced Jazz Guitar
SOCW,SOCW445,Social Enterprise Lab
LER,LER110,Labor and Social Movements
ECON,ECON448,Employee Compensation and Incentives
GER,GER570,Studies in Critical Theory
ASRM,ASRM406,Linear Algebra with Financial Applications
CS,CS211,Ethical and Professional Conduct
BSE,BSE637,Nutrition & Metabolism
PHYS,PHYS123,Physics Made Easy
MATH,MATH249,Honors Supplement
PS,PS282,Governing Globalization
REL,REL393,The World of Jewish Sepharad
MBA,MBA501,Foundations of Business I
CI,CI436,Computer and Mathematics Educ
HIST,HIST375,Soc History Indus Am to 1918
NRES,NRES474,Soil and Water Conservation
GEOL,GEOL390,Individual Study
NUTR,NUTR422,Companion Animal Nutrition
PSYC,PSYC311,Behavioral Neuroscience Lab
ACCY,ACCY451,Advanced Income Tax Problems
EALC,EALC413,Premodern Chinese Drama
HORT,HORT107,Introduction to Floral Design
SPAN,SPAN580,Classroom Language Acquisition
ECE,ECE418,Image & Video Processing
LAW,LAW304,Introduction to Legal Research
NEUR,NEUR451,Neurobio of Aging
CWL,CWL275,Masterpieces of East Asian Lit
CI,CI568,Cont Classics in Child Lit
HIST,HIST476,History of the American West
FSHN,FSHN346,Foundations of Hotel Management
NE,NE420,Neural Interface Engineering
ECE,ECE523,Gaseous Electronics & Plasmas
INFO,INFO303,Writing Across Media
CWL,CWL251,Viking Mythology
LING,LING100,Intro to Language Science
STAT,STAT546,Machine Learning in Data Science
CEE,CEE521,Building Information Modeling
MBA,MBA545,Marketing in Our New Digital World
ACCY,ACCY593,Special Research Problems
LLS,LLS396,Adv Topics Latina/o Studies
BIOE,BIOE416,Biosensors
ENGL,ENGL435,Nineteenth-Century British Fiction
EPOL,EPOL582,New Media and Literacies
ARTJ,ARTJ397,"Zen, Tea, and Power"
NEUR,NEUR432,Genes and Behavior
IS,IS406,Cognition in the Wild
ERAM,ERAM520,Researching Race in Education
IS,IS590,Advanced Problems in Information Sciences
ENGL,ENGL267,Grimms' Fairy Tales - ACP
GER,GER570,Modern Critical Theory
BADM,BADM554,Enterprise Database Management
MUSC,MUSC441,Advanced Jazz Brass
AE,AE551,Elastodynamics and Vibrations
ECON,ECON491,Topics in Econometrics
PHYS,PHYS514,Modern Atomic Physics
PS,PS490,Individual Study
CHBE,CHBE397,Individual Study for Juniors
LAW,LAW794,Adv Topics in Business Law
HDFS,HDFS261,Self-Help Group Dev & Process
MACS,MACS496,Advanced Media/Cinema Topics
CLE,CLE706,Emergency Medicine
CW,CW506,Writing Workshop in Poetry
MSE,MSE480,Surfaces and Colloids
EPOL,EPOL325,Social Media and Global Change
THEA,THEA442,Introduction to Costume Patterning and Draping
REL,REL170,Nature Religion
ENG,ENG571,Theory Energy & Sustain Engrg
ECE,ECE445,Senior Design Project Lab
CI,CI516,Culture and Cultural Context in Educational Evaluation
CS,CS397,Individual Study
ACE,ACE594,Seminars and Workshops
ARTD,ARTD402,Industrial Design VI
JOUR,JOUR480,Advanced Reporting Topics
RUSS,RUSS202,Second-Year Russian II
SOC,SOC598,Thesis Proposal
MUS,MUS274,Basketball Band
ENGL,ENGL428,"British Drama, 1660-1800"
MUS,MUS431,Piano Pedagogy I
MUSC,MUSC300,Junior Recital
MUS,MUS528,Res & Bibliography in Music
MUS,MUS536,Soc-Cultur Inquiry Music Learn
ECON,ECON411,Public Sector Economics
RST,RST586,"Health and Leisure in Recreation, Sport and Tourism"
GEOL,GEOL560,Aqueous Geochemistry
ARCH,ARCH596,Spec Prob Housing Env
ARTH,ARTH351,Early American Modernism
CI,CI444,ECE Social Studies Content and Methods
DANC,DANC362,Choreographic Process II
CEE,CEE573,Structural Dynamics II
BADM,BADM561,Revenue Management
ACCY,ACCY558,Taxation of Closely-Held Bus.
CI,CI421,Principles and Practices in Early Childhood Education
STAT,STAT199,Undergraduate Open Seminar
ARCH,ARCH546,Programming & Concept Studio
DANC,DANC330,Dance Documentation
BADM,BADM565,Design & Mgt of Service Sys
CHLH,CHLH545,Grant Writing for Health Professionals
GLBL,GLBL350,Poverty in a Global Context
SOC,SOC199,Undergraduate Open Seminar
MUSC,MUSC138,Jazz Percussion
MUSC,MUSC401,Piano
CMN,CMN215,Interviewing: The Art and Science of Effective Questioning
GRK,GRK492,Senior Thesis
MACS,MACS377,Global Communications
BUS,BUS215,Sophomore Gies Scholar Seminar
AAS,AAS283,Asian American History
CI,CI585,Informational Children's Literature
CWL,CWL570,Modern Critical Theory
HDFS,HDFS405,Adolescent Development
SWAH,SWAH409,Adv Topics Swahili Lang&Lit I
ADV,ADV410,Public Relations Strategies
JOUR,JOUR417,Producing for UI7 Programming
HRD,HRD414,Facilitation Skills
CI,CI554,Advanced Instructional Approach
ARCH,ARCH101,Introduction to Architecture
ANSC,ANSC215,Introduction to Animal Evaluation
HRD,HRD480,Introduction to eLearning
SPED,SPED416,Perspectives on Gifted Edu
MUS,MUS339,Princpls and Technqs in Mus Ed
AFRO,AFRO495,Senior Thesis Seminar
FSHN,FSHN439,Design Thinking for Restaurants
EPSY,EPSY501,Evaluation in Society
NRES,NRES490,Surface Water System Chemistry
PHIL,PHIL105,Introduction to Ethics
IS,IS538,Competitive Intelligence & Knowledge Management
FIN,FIN514,Valuation of Complex Derivative Securities
MUSC,MUSC137,Jazz Guitar
STAT,STAT556,Advanced Time Series Analysis
GGIS,GGIS401,Watershed Hydrology
EPOL,EPOL549,School District Financial Management
CI,CI410,"Middle School Instruction, Philosophy and Structures"
LAW,LAW678,Anthropology and Law
LLS,LLS372,"Immigration, Law, and Rights"
SPED,SPED465,Curriculum and Methods in ECSE
PHYS,PHYS150,Physics of Societal Issues
MUS,MUS299,Thesis/Adv UG Honors in Music
HIST,HIST286,US Gender History Since 1877
MSE,MSE454,Mechanics of Polymers
MUS,MUS305,Computation and Music III
IS,IS593,Advanced Topics in Preservation & Tech Services
IS,IS409,Storytelling
NPRE,NPRE435,Radiological Imaging
ENGL,ENGL265,Intro to American Indian Lit
GEOL,GEOL485,Risk Analysis in Earth Science
AE,AE410,Computational Aerodynamics
NRES,NRES348,Fish and Wildlife Ecology
LING,LING550,Sociolinguistics II
CS,CS543,Computer Vision
EPSY,EPSY589,Categorical Data Analysis in Educational Psychology
ECON,ECON414,Urban Economics
ASRM,ASRM462,"Advanced Loss Models, Credibility, and Ratemaking"
FSHN,FSHN573,Advanced Food Microbiology
MBA,MBA503,Prin & Proc of Management I
TE,TE461,Technology Entrepreneurship
AE,AE525,Advanced Composite Materials
HIST,HIST288,American Indians of Illinois
EALC,EALC344,Government and Politics of Japan
ECE,ECE549,Computer Vision
IE,IE532,Analysis of Network Data
ART,ART202,Art in the Elementary Grades
MUSC,MUSC490,Concert Jazz Band
PHYS,PHYS565,Theory of Semicond & Devices
MATH,MATH547,Banach Spaces
RUSS,RUSS220,Golden Age of Russian Lit
IS,IS502,"Libraries, Information and Society"
STAT,STAT480,Big Data Analytics
EPOL,EPOL409,Sociology of Education
SPAN,SPAN571,Proseminar For Lang Tchg
ENGL,ENGL593,Professional Seminar in College Teaching
ACCY,ACCY501,Accounting Analysis I
BIOE,BIOE487,Stem Cell Bioengineering
MUS,MUS330,Advanced Choral Conducting I
MUS,MUS432,Piano Pedagogy II
CHLH,CHLH201,Public Health Research Methods
EPS,EPS533,Global Youth and Citizenship
SOC,SOC485,Intermediate Social Statistics
TSM,TSM438,Renewable Energy Applications
THEA,THEA505,Proseminar in Theatre Practice
GWS,GWS580,Queer Theories & Methods
EURO,EURO576,Children and Youth Literature
CEE,CEE524,Construction Law
ARCH,ARCH433,Design of Steel and Reinforced Concrete Structures
PATH,PATH527,Parasitology/Epidemiology Sem
NRES,NRES472,Environmental Psychology
CLE,CLE748,Surgical Pathophysiology
HIST,HIST599,Thesis Research
ANTH,ANTH459,The Ancient Maya
ENG,ENG573,Capstone Project
MUS,MUS352,Tchng Strings in Grp Settings
MUS,MUS529,Transformative Music Education
CHIN,CHIN222,Elementary Spoken Mandarin II
SCAN,SCAN306,Old Norse - Icelandic II
AFRO,AFRO474,"The Black Freedom Movement, 1955-Present"
LAW,LAW634,Securities Regulation
LAW,LAW664,Employment Discrimination
PSYC,PSYC355,The Attentive Mind
NPRE,NPRE531,Nuclear Materials
CMN,CMN231,Communication and Conflict
HIST,HIST394,Hidden Political Figures
PHIL,PHIL404,Medieval Philosophy
REL,REL160,Ancient Greek & Roman Religion
MUSC,MUSC517,Graduate Electric Viola
